Name,oldest_sequence,newest_sequence,number_taxa
UK6134,2020-03-20,2020-03-20,1
UK5932,2020-03-23,2020-03-23,1
UK6340,2020-03-10,2020-03-10,1
UK8195,2020-03-20,2020-03-20,1
UK6136,2020-03-23,2020-03-23,1
UK6386,2020-03-23,2020-03-23,1
UK6534,2020-03-22,2020-03-22,1
UK5940,2020-03-23,2020-03-23,1
UK6815,2020-03-14,2020-03-14,1
UK4940,2020-03-23,2020-04-12,2
UK6820,2020-03-14,2020-03-14,1
UK6855,2020-03-23,2020-03-23,1
UK6943,2020-03-14,2020-03-14,1
UK6137,2020-03-23,2020-03-23,1
UK6410,2020-03-19,2020-03-19,1
UK5973,2020-03-21,2020-03-21,1
UK6777,2020-03-22,2020-03-22,1
UK5820,2020-03-10,2020-03-10,1
UK6535,2020-03-25,2020-03-25,1
UK8315,2020-03-25,2020-03-25,1
UK6383,2020-03-21,2020-03-21,1
UK6844,2020-03-23,2020-03-23,1
UK6536,2020-03-21,2020-03-21,1
UK6973,2020-03-13,2020-03-13,1
UK7877,2020-03-11,2020-03-11,1
UK6772,2020-03-14,2020-03-14,1
UK7180,2020-05-05,2020-05-05,1
UK1962,2020-04-23,2020-05-05,6
UK7503,2020-04-17,2020-05-04,3
UK7777,2020-03-31,2020-05-01,5
UK7391,2020-05-04,2020-05-04,1
UK7365,2020-04-30,2020-05-04,2
UK61,2020-03-17,2020-05-03,60
UK3736,2020-04-09,2020-05-01,9
UK7504,2020-05-05,2020-05-05,1
UK7581,2020-05-04,2020-05-04,1
UK7505,2020-05-03,2020-05-03,1
UK7506,2020-05-03,2020-05-03,1
UK7618,2020-05-01,2020-05-01,1
UK4363,2020-03-11,2020-05-03,2
UK7232,2020-04-04,2020-04-04,1
UK7403,2020-04-14,2020-04-14,1
UK7413,2020-04-07,2020-04-07,1
UK7507,2020-04-11,2020-04-11,1
UK7752,2020-04-05,2020-04-09,4
UK3715,2020-04-03,2020-04-04,2
UK6254,2020-04-07,2020-04-14,8
UK29,2020-03-25,2020-04-14,9
UK7508,2020-04-12,2020-04-12,1
UK7275,2020-04-02,2020-04-03,2
UK7315,2020-04-02,2020-04-02,1
UK7509,2020-04-10,2020-04-10,1
UK7316,2020-04-11,2020-04-11,1
UK7510,2020-04-03,2020-04-03,1
UK7404,2020-04-10,2020-04-10,1
UK7317,2020-04-03,2020-04-03,1
UK110,2020-03-25,2020-04-12,14
UK3999,2020-04-08,2020-04-15,3
UK7511,2020-04-12,2020-04-12,1
UK7512,2020-04-11,2020-04-11,1
UK7513,2020-04-10,2020-04-10,1
UK7204,2020-04-03,2020-04-03,1
UK7265,2020-04-12,2020-04-12,1
UK7429,2020-04-01,2020-04-01,1
UK7242,2020-04-07,2020-04-07,1
UK7623,2020-04-03,2020-04-03,1
UK7283,2020-04-04,2020-04-04,1
UK7318,2020-04-07,2020-04-07,1
UK7319,2020-04-11,2020-04-11,1
UK7182,2020-04-06,2020-04-06,1
UK7430,2020-04-01,2020-04-01,1
UK7320,2020-04-14,2020-04-14,1
UK7405,2020-04-12,2020-04-12,1
UK7321,2020-04-11,2020-04-11,1
UK7322,2020-04-06,2020-04-06,1
UK7323,2020-04-03,2020-04-03,1
UK4946,2020-03-31,2020-04-11,6
UK7226,2020-04-16,2020-04-16,1
UK7593,2020-04-13,2020-04-13,1
UK7376,2020-04-13,2020-04-13,1
UK7284,2020-04-03,2020-04-03,1
UK7243,2020-04-07,2020-04-07,1
UK7324,2020-04-10,2020-04-10,1
UK7597,2020-04-07,2020-04-07,1
UK6863,2020-04-04,2020-04-07,2
UK7428,2020-04-10,2020-04-10,1
UK48,2020-03-06,2020-04-11,7
UK7576,2020-04-01,2020-04-01,1
UK7514,2020-04-07,2020-04-07,1
UK7590,2020-04-14,2020-04-14,1
UK7169,2020-04-07,2020-04-07,1
UK7384,2020-04-08,2020-04-08,1
UK7398,2020-04-10,2020-04-10,2
UK263,2020-03-30,2020-04-08,4
UK7244,2020-04-07,2020-04-07,1
UK7245,2020-04-07,2020-04-07,1
UK7515,2020-04-10,2020-04-10,1
UK7516,2020-04-03,2020-04-03,1
UK7285,2020-04-11,2020-04-11,1
UK7222,2020-04-16,2020-04-16,1
UK200,2020-03-04,2020-04-14,8
UK7325,2020-04-03,2020-04-03,1
UK6476,2020-04-05,2020-04-10,3
UK7271,2020-04-07,2020-04-07,1
UK7326,2020-04-11,2020-04-11,1
UK7406,2020-04-03,2020-04-03,1
UK7189,2020-04-13,2020-04-13,1
UK7327,2020-04-09,2020-04-09,1
UK7414,2020-04-02,2020-04-02,1
UK7517,2020-04-13,2020-04-13,1
UK7246,2020-04-07,2020-04-07,1
UK133,2020-03-15,2020-04-20,51
UK7328,2020-04-13,2020-04-13,1
UK7247,2020-04-07,2020-04-07,1
UK7610,2020-04-02,2020-04-02,1
UK7603,2020-04-09,2020-04-09,1
UK7415,2020-04-07,2020-04-07,1
UK2997,2020-04-04,2020-04-05,2
UK7286,2020-04-09,2020-04-09,1
UK7223,2020-04-13,2020-04-13,1
UK7329,2020-04-14,2020-04-14,1
UK7518,2020-04-09,2020-04-09,1
UK7753,2020-04-04,2020-04-10,2
UK7287,2020-04-14,2020-04-14,1
UK7416,2020-04-07,2020-04-07,1
UK7248,2020-04-07,2020-04-07,1
UK7385,2020-04-03,2020-04-03,2
UK7377,2020-04-10,2020-04-10,1
UK2920,2020-03-25,2020-04-13,6
UK7519,2020-04-07,2020-04-07,1
UK7808,2020-04-03,2020-04-07,2
UK7330,2020-04-13,2020-04-13,1
UK7331,2020-04-03,2020-04-03,1
UK7520,2020-04-03,2020-04-03,1
UK7259,2020-04-07,2020-04-07,1
UK7417,2020-04-06,2020-04-06,1
UK7521,2020-04-07,2020-04-07,1
UK7233,2020-04-02,2020-04-02,1
UK7522,2020-04-11,2020-04-11,1
UK7418,2020-04-11,2020-04-11,1
UK7378,2020-04-12,2020-04-12,1
UK7332,2020-04-02,2020-04-02,1
UK7419,2020-04-15,2020-04-15,1
UK7424,2020-04-02,2020-04-02,1
UK7523,2020-04-01,2020-04-01,1
UK7333,2020-04-01,2020-04-01,1
UK7292,2020-03-31,2020-03-31,1
UK7334,2020-04-10,2020-04-10,1
UK7335,2020-04-12,2020-04-12,1
UK5616,2020-03-14,2020-04-06,3
UK7392,2020-04-01,2020-04-01,1
UK7420,2020-04-08,2020-04-08,1
UK7190,2020-04-11,2020-04-11,1
UK7156,2020-04-14,2020-04-14,1
UK7524,2020-04-12,2020-04-12,1
UK7379,2020-04-13,2020-04-13,1
UK7336,2020-04-10,2020-04-10,1
UK406,2020-03-24,2020-04-04,5
UK7337,2020-04-12,2020-04-12,1
UK7288,2020-04-03,2020-04-03,1
UK7338,2020-04-10,2020-04-10,1
UK7421,2020-04-02,2020-04-02,1
UK7525,2020-04-03,2020-04-03,1
UK7211,2020-04-13,2020-04-13,1
UK7407,2020-04-13,2020-04-13,1
UK7212,2020-04-13,2020-04-13,1
UK7526,2020-04-16,2020-04-16,1
UK7249,2020-04-11,2020-04-11,1
UK7598,2020-04-07,2020-04-07,1
UK7289,2020-04-03,2020-04-03,1
